what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1287389008921
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1287389017328
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1287389021546
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1287389037671
opened,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1287389039671
activated,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1287389039765
executed,command,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.edit.text.openLocalFile,1287389039812
started,bundle,org.eclipse.core.variables,3.2.100.v20080529-1300,org.eclipse.core.variables,1287389040031
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1287389050937
closed,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1287389050937
started,bundle,org.eclipse.compare,3.4.1.r34x_20090121,org.eclipse.compare,1287389052703
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1287389063859
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1287389072093
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1287389073765
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1287389073781
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1287389073875
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1287389137500
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1287389140843
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1287389142109
started,bundle,org.eclipse.mylyn.ide.ant,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.ide.ant,1287389142125
started,bundle,org.eclipse.mylyn.java.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.java.ui,1287389142140
started,bundle,org.eclipse.mylyn.resources.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.resources.ui,1287389142156
closed,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1287389142406
stopped,bundle,org.eclipse.mylyn.ide.ant,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.ide.ant,1287389142828
stopped,bundle,org.eclipse.ant.ui,3.3.1.v20090120_r342,org.eclipse.ant.ui,1287389142828
