what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.newWizard,1287388865062
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1287388877421
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1287388881921
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1287388894203
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1287388902234
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1287388906953
started,bundle,org.eclipse.core.filesystem,1.2.0.v20080604-1400,org.eclipse.core.filesystem,1287388920859
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1287388924296
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1287388928390
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1287388932453
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1287388932656
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1287388933984
started,bundle,org.eclipse.mylyn.ide.ant,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.ide.ant,1287388934062
started,bundle,org.eclipse.mylyn.java.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.java.ui,1287388934125
started,bundle,org.eclipse.mylyn.resources.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.resources.ui,1287388934234
closed,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1287388934359
stopped,bundle,org.eclipse.mylyn.ide.ant,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.ide.ant,1287388935296
stopped,bundle,org.eclipse.ant.ui,3.3.1.v20090120_r342,org.eclipse.ant.ui,1287388935359
stopped,bundle,org.eclipse.mylyn.java.tasks,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.java.tasks,1287388935468
stopped,bundle,org.eclipse.mylyn.java.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.java.ui,1287388935468
stopped,bundle,org.eclipse.jdt.junit,3.4.0.v20080603-2000,org.eclipse.jdt.junit,1287388935531
stopped,bundle,org.eclipse.jdt.debug.ui,3.3.1.v20080730_r341,org.eclipse.jdt.debug.ui,1287388935593
